iter	Passed	Remaining
402	12300	12117
403	12331	12087
404	12363	12057
405	12396	12030
406	12430	12002
407	12464	11976
408	12497	11947
409	12528	11917
410	12560	11887
411	12590	11857
412	12622	11828
413	12653	11797
414	12684	11767
415	12715	11737
416	12749	11709
417	12782	11682
418	12812	11650
419	12843	11620
420	12874	11589
421	12906	11560
422	12937	11530
423	12966	11499
424	12996	11467
425	13029	11439
426	13059	11408
427	13090	11378
428	13120	11346
429	13150	11315
430	13179	11283
431	13211	11254
432	13241	11223
433	13272	11192
434	13302	11161
435	13330	11129
436	13360	11098
437	13393	11069
438	13427	11041
439	13461	11014
440	13493	10984
441	13524	10953
442	13577	10941
443	13608	10911
444	13640	10881
445	13672	10851
446	13702	10821
447	13734	10791
448	13764	10759
449	13792	10727
450	13824	10697
451	13856	10668
452	13885	10636
453	13916	10605
454	13946	10574
455	13975	10543
456	14007	10513
457	14038	10483
458	14086	10465
459	14118	10435
460	14150	10405
461	14181	10375
462	14213	10345
463	14245	10315
464	14275	10284
465	14307	10254
466	14337	10223
467	14368	10192
468	14401	10163
469	14433	10134
470	14466	10105
471	14496	10073
472	14528	10043
473	14558	10012
474	14587	9980
475	14619	9950
476	14649	9919
477	14680	9889
478	14708	9856
479	14737	9825
480	14768	9794
481	14799	9764
482	14830	9733
483	14859	9701
484	14889	9670
485	14919	9639
486	14949	9607
487	14980	9577
488	15013	9548
489	15045	9518
490	15078	9489
491	15108	9458
492	15138	9427
493	15168	9395
494	15198	9364
495	15230	9334
496	15262	9304
497	15293	9274
498	15322	9242
499	15352	9211
500	15385	9182
501	15422	9155
502	15463	9130
503	15500	9103
504	15532	9073
505	15577	9050
506	15609	9020
507	15645	8992
508	15689	8969
509	15728	8943
510	15764	8915
511	15795	8884
512	15826	8854
513	15863	8827
514	15895	8796
515	15927	8766
516	15958	8735
517	15989	8704
518	16021	8674
519	16052	8643
520	16083	8612
521	16114	8581
522	16146	8551
523	16178	8521
524	16209	8490
525	16240	8459
526	16270	8428
527	16301	8397
528	16330	8366
529	16361	8334
530	16394	8305
531	16428	8276
532	16461	8246
533	16493	8215
534	16524	8184
535	16556	8154
536	16589	8124
537	16624	8095
538	16658	8066
539	16691	8036
540	16724	8006
541	16755	7975
542	16787	7945
543	16818	7914
544	16848	7883
545	16880	7852
546	16911	7821
547	16940	7790
548	16970	7758
549	17000	7727
550	17032	7696
551	17062	7665
552	17092	7634
553	17123	7603
554	17155	7573
555	17185	7541
556	17217	7511
557	17247	7480
558	17279	7449
559	17309	7418
560	17340	7387
561	17371	7356
562	17404	7326
563	17438	7297
564	17472	7267
565	17502	7235
566	17539	7207
567	17570	7176
568	17601	7145
569	17633	7115
570	17666	7085
571	17697	7054
572	17728	7023
573	17761	6993
574	17793	6962
575	17825	6931
576	17854	6900
577	17884	6869
578	17915	6838
579	17947	6807
580	17978	6776
581	18009	6745
582	18040	6714
583	18074	6684
584	18103	6653
585	18133	6622
586	18177	6595
587	18208	6564
588	18237	6533
589	18269	6502
590	18301	6471
591	18335	6442
592	18368	6411
593	18402	6382
594	18435	6351
595	18466	6320
596	18498	6290
597	18528	6258
598	18560	6228
599	18590	6196
600	18638	6171
601	18669	6140
602	18699	6109
603	18730	6078
604	18765	6048
605	18798	6017
606	18829	5987
607	18860	5956
608	18893	5925
609	18924	5894
610	18953	5863
611	18983	5831
612	19012	5800
613	19044	5769
614	19075	5738
615	19105	5706
616	19136	5675
617	19167	5644
618	19197	5613
619	19229	5582
620	19262	5552
621	19296	5522
622	19328	5491
623	19362	5461
624	19395	5430
625	19429	5400
626	19462	5369
627	19493	5338
628	19524	5307
629	19554	5276
630	19586	5245
631	19617	5214
632	19646	5183
633	19676	5151
634	19708	5121
635	19740	5090
636	19770	5059
637	19799	5027
